//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 18:03:00 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         195.664            0    00  00       23      289 
         395.664            0    00  00       23      288 
         595.664            0    00  00       23      289 
         795.664            0    00  00       23      288 
         995.664            0    00  00       23      287 
        1195.656            0    00  00       24      288 
        1395.656            0    00  00       24      286 
        1595.656            0    00  00       23      289 
        1795.656            0    00  00       23      288 
        1995.656            0    00  00       22      289 
        2195.656            0    00  00       23      288 
        2395.648            0    00  00       24      287 
        2595.648            0    00  00       23      288 
        2795.648            0    00  00       23      289 
        2995.648            0    00  00       23      288 
        3195.648            0    00  00       24      288 
        3395.648            0    00  00       23      289 
        3595.648            0    00  00       23      287 
        3795.640            0    00  00       23      289 
        3995.640            0    00  00       23      289 
        4195.640            0    00  00       23      288 
        4395.640            0    00  00       24      287 
        4595.640            0    00  00       22      288 
        4795.640            0    00  00       23      287 
        4995.632            0    00  00       23      290 
        5195.632            0    00  00       23      288 
        5395.632            0    00  00       23      287 
        5595.632            0    00  00       24      287 
        5795.632            0    00  00       24      287 
        5995.632            0    00  00       24      287 
        6195.624            0    00  00       23      289 
        6395.624            0    00  00       23      288 
        6595.624            0    00  00       23      288 
        6795.624            0    00  00       23      288 
        6995.624            0    00  00       23      288 
        7195.624            0    00  00       24      288 
        7395.624            0    00  00       23      288 
        7595.616            0    00  00       24      288 
        7795.616            0    00  00       22      288 
        7995.616            0    00  00       23      288 
        8195.616            0    00  00       23      288 
        8395.616            0    00  00       23      287 
        8595.616            0    00  00       24      287 
        8795.608            0    00  00       23      287 
        8995.608            0    00  00       23      288 
        9195.608            0    00  00       24      288 
        9395.608            0    00  00       22      288 
        9595.608            0    00  00       23      288 
        9795.608            0    00  00       23      289 
        9995.608            0    00  00       23      288 
       10195.600            0    00  00       24      288 
       10395.600            0    00  00       24      288 
       10595.600            0    00  00       23      289 
       10795.600            0    00  00       23      287 
       10995.600            0    00  00       22      288 
       11195.600            0    00  00       23      288 
       11395.592            0    00  00       24      288 
       11595.592            0    00  00       23      287 
       11795.592            0    00  00       23      288 
       11995.592            0    00  00       23      287 
       12195.592            0    00  00       24      288 
       12395.592            0    00  00       23      288 
       12595.592            0    00  00       23      287 
       12795.584            0    00  00       23      288 
       12995.584            0    00  00       24      287 
       13195.584            0    00  00       23      287 
       13395.584            0    00  00       24      287 
       13595.584            0    00  00       23      287 
       13795.584            0    00  00       24      288 
       13995.576            0    00  00       23      288 
       14195.576            0    00  00       23      287 
       14395.576            0    00  00       23      288 
       14595.576            0    00  00       24      288 
       14795.576            0    00  00       23      294 
       14995.576            0    00  00       23      288 
       15195.568            0    00  00       23      288 
       15395.568            0    00  00       24      288 
       15595.568            0    00  00       23      288 
       15795.568            0    00  00       23      287 
       15995.568            0    00  00       23      288 
       16195.568            0    00  00       23      288 
       16395.568            0    00  00       23      289 
       16595.560            0    00  00       24      287 
       16795.560            0    00  00       22      288 
       16995.560            0    00  00       23      288 
       17195.560            0    00  00       23      289 
       17395.560            0    00  00       23      287 
       17595.560            0    00  00       23      288 
       17795.552            0    00  00       24      288 
       17995.552            0    00  00       23      288 
       18195.552            0    00  00       24      287 
       18395.552            0    00  00       23      294 
       18595.552            0    00  00       23      288 
       18795.552            0    00  00       23      288 
       18995.552            0    00  00       23      289 
       19195.544            0    00  00       24      287 
       19395.544            0    00  00       24      288 
       19595.544            0    00  00       23      287 
       19795.544            0    00  00       24      288 
       19995.544            0    00  00       23      286 
       20195.544            0    00  00       23      289 
       20395.536            0    00  00       23      288 
       20595.536            0    00  00       23      287 
       20795.536            0    00  00       23      289 
       20995.536            0    00  00       24      289 
       21195.536            0    00  00       23      287 
       21395.536            0    00  00       24      287 
       21595.536            0    00  00       22      288 
       21795.528            0    00  00       23      287 
       21995.528            0    00  00       23      288 
       22195.528            0    00  00       23      287 
       22395.528            0    00  00       23      289 
       22595.528            0    00  00       24      288 
       22795.528            0    00  00       24      287 
       22995.520            0    00  00       23      289 
       23195.520            0    00  00       22      294 
       23395.520            0    00  00       23      288 
       23595.520            0    00  00       23      289 
       23795.520            0    00  00       23      289 
       23995.520            0    00  00       24      287 
       24195.512            0    00  00       23      288 
       24395.512            0    00  00       23      286 
       24595.512            0    00  00       23      288 
       24795.512            0    00  00       23      288 
       24995.512            0    00  00       23      296 
       25195.512            0    00  00       23      288 
       25395.512            0    00  00       23      288 
       25595.504            0    00  00       24      287 
       25795.504            0    00  00       23      287 
       25995.504            0    00  00       24      288 
       26195.504            0    00  00       23      288 
       26395.504            0    00  00       23      287 
       26595.504            0    00  00       23      288 
       26795.496            0    00  00       23      288 
       26995.496            0    00  00       23      289 
       27195.496            0    00  00       23      289 
       27395.496            0    00  00       23      288 
       27595.496            0    00  00       23      288 
       27795.496            0    00  00       23      288 
       27995.496            0    00  00       23      287 
       28195.488            0    00  00       24      287 
       28395.488            0    00  00       23      287 
       28595.488            0    00  00       23      289 
       28795.488            0    00  00       24      288 
       28995.488            0    00  00       23      288 
       29195.488            0    00  00       23      288 
       29395.480            0    00  00       23      288 
       29595.480            0    00  00       23      289 
       29795.480            0    00  00       23      288 
       29995.480            0    00  00       24      288 
       30195.480            0    00  00       24      286 
       30395.480            0    00  00       24      288 
       30595.472            0    00  00       23      289 
       30795.472            0    00  00       23      288 
       30995.472            0    00  00       23      288 
       31195.472            0    00  00       23      287 
       31395.472            0    00  00       24      288 
       31595.472            0    00  00       24      287 
       31795.472            0    00  00       23      288 
       31995.464            0    00  00       24      287 
       32195.464            0    00  00       22      288 
       32395.464            0    00  00       23      288 
       32595.464            0    00  00       23      288 
       32795.464            0    00  00       23      294 
       32995.464            0    00  00       23      288 
       33195.456            0    00  00       24      288 
       33395.456            0    00  00       23      289 
       33595.456            0    00  00       24      287 
       33795.456            0    00  00       22      288 
       33995.456            0    00  00       23      289 
       34195.456            0    00  00       23      289 
       34395.456            0    00  00       23      287 
       34595.448            0    00  00       24      288 
       34795.448            0    00  00       24      292 
       34995.448            0    00  00       23      288 
       35195.448            0    00  00       23      285 
       35395.448            0    00  00       22      288 
       35595.448            0    00  00       23      287 
       35795.440            0    00  00       24      290 
       35995.440            0    00  00       23      290 
       36195.440            0    00  00       23      288 
       36395.440            0    00  00       23      289 
       36595.440            0    00  00       23      288 
       36795.440            0    00  00       23      289 
       36995.440            0    00  00       23      288 
       37195.432            0    00  00       23      289 
       37395.432            0    00  00       23      288 
       37595.432            0    00  00       23      289 
       37795.432            0    00  00       24      288 
       37995.432            0    00  00       24      289 
       38195.432            0    00  00       23      287 
       38395.424            0    00  00       23      287 
       38595.424            0    00  00       23      287 
       38795.424            0    00  00       23      288 
       38995.424            0    00  00       24      288 
       39195.424            0    00  00       23      286 
       39395.424            0    00  00       23      290 
       39595.416            0    00  00       23      289 
       39795.416            0    00  00       24      288 
       39995.416            0    00  00       23      288 
       40195.416            0    00  00       23      287 
       40395.416            0    00  00       23      288 
       40595.416            0    00  00       24      288 
       40795.416            0    00  00       23      288 
       40995.408            0    00  00       24      288 
       41195.408            0    00  00       23      287 
       41395.408            0    00  00       24      287 
       41595.408            0    00  00       23      288 
       41795.408            0    00  00       23      287 
       41995.408            0    00  00       23      288 
       42195.400            0    00  00       24      288 
       42395.400            0    00  00       23      288 
       42595.400            0    00  00       23      288 
       42795.400            0    00  00       23      289 
       42995.400            0    00  00       23      288 
       43195.400            0    00  00       24      287 
       43395.400            0    00  00       23      287 
       43595.392            0    00  00       23      288 
       43795.392            0    00  00       24      288 
       43995.392            0    00  00       23      288 
       44195.392            0    00  00       24      286 
       44395.392            0    00  00       22      288 
       44595.392            0    00  00       23      288 
       44795.384            0    00  00       23      288 
       44995.384            0    00  00       23      286 
       45195.384            0    00  00       23      289 
       45395.384            0    00  00       24      288 
       45595.384            0    00  00       23      287 
       45795.384            0    00  00       24      289 
       45995.384            0    00  00       23      287 
       46195.376            0    00  00       23      288 
       46395.376            0    00  00       23      288 
       46595.376            0    00  00       23      287 
       46795.376            0    00  00       23      288 
       46995.376            0    00  00       24      287 
       47195.376            0    00  00       23      296 
       47395.368            0    00  00       23      288 
       47595.368            0    00  00       23      287 
       47795.368            0    00  00       23      287 
       47995.368            0    00  00       24      288 
       48195.368            0    00  00       23      289 
       48395.368            0    00  00       24      287 
       48595.360            0    00  00       23      287 
       48795.360            0    00  00       23      288 
       48995.360            0    00  00       24      288 
       49195.360            0    00  00       22      288 
       49395.360            0    00  00       23      288 
       49595.360            0    00  00       23      288 
       49795.360            0    00  00       23      288 
       49995.352            0    00  00       23      289 
       50195.352            0    00  00       23      288 
       50395.352            0    00  00       23      288 
       50595.352            0    00  00       23      289 
       50795.352            0    00  00       22      289 
       50995.352            0    00  00       23      288 
       51195.344            0    00  00       24      287 
       51395.344            0    00  00       23      299 
       51595.344            0    00  00       24      287 
       51795.344            0    00  00       23      288 
       51995.344            0    00  00       24      287 
       52195.344            0    00  00       23      288 
       52395.344            0    00  00       23      286 
       52595.336            0    00  00       23      289 
       52795.336            0    00  00       24      287 
       52995.336            0    00  00       23      288 
       53195.336            0    00  00       24      288 
       53395.336            0    00  00       23      287 
       53595.336            0    00  00       24      289 
       53795.328            0    00  00       23      288 
       53995.328            0    00  00       23      287 
       54195.328            0    00  00       23      288 
       54395.328            0    00  00       24      287 
       54595.328            0    00  00       23      289 
       54795.328            0    00  00       24      288 
       54995.320            0    00  00       23      288 
       55195.320            0    00  00       24      288 
       55395.320            0    00  00       23      288 
       55595.320            0    00  00       23      287 
       55795.320            0    00  00       23      288 
       55995.320            0    00  00       24      287 
       56195.320            0    00  00       23      289 
       56395.312            0    00  00       24      288 
       56595.312            0    00  00       22      288 
       56795.312            0    00  00       23      289 
       56995.312            0    00  00       23      288 
       57195.312            0    00  00       23      287 
       57395.312            0    00  00       23      288 
       57595.304            0    00  00       24      287 
       57795.304            0    00  00       23      288 
       57995.304            0    00  00       24      289 
       58195.304            0    00  00       23      288 
       58395.304            0    00  00       23      288 
       58595.304            0    00  00       23      288 
       58795.304            0    00  00       22      288 
       58995.296            0    00  00       23      288 
       59195.296            0    00  00       24      287 
       59395.296            0    00  00       23      288 
       59595.296            0    00  00       24      291 
       59795.296            0    00  00       22      288 
       59995.296            0    00  00       23      288 
       60195.288            0    00  00       24      287 
       60395.288            0    00  00       23      289 
       60595.288            0    00  00       24      288 
       60795.288            0    00  00       24      288 
       60995.288            0    00  00       24      287 
       61195.288            0    00  00       24      289 
       61395.288            0    00  00       22      289 
       61595.280            0    00  00       23      287 
       61795.280            0    00  00       23      288 
       61995.280            0    00  00       23      288 
       62195.280            0    00  00       24      288 
       62395.280            0    00  00       24      288 
       62595.280            0    00  00       23      288 
       62795.272            0    00  00       23      288 
       62995.272            0    00  00       22      288 
       63195.272            0    00  00       23      288 
       63395.272            0    00  00       24      287 
       63595.272            0    00  00       23      287 
       63795.272            0    00  00       23      289 
       63995.264            0    00  00       23      288 
       64195.264            0    00  00       24      288 
       64395.264            0    00  00       23      288 
       64595.264            0    00  00       23      287 
       64795.264            0    00  00       23      289 
       64995.264            0    00  00       23      287 
       65195.264            0    00  00       23      287 
       65395.256            0    00  00       24      288 
       65595.256            0    00  00       23      288 
       65795.256            0    00  00       24      288 
       65995.256            0    00  00       23      288 
       66195.256            0    00  00       23      287 
       66395.256            0    00  00       23      288 
       66595.248            0    00  00       24      286 
       66795.248            0    00  00       23      288 
       66995.248            0    00  00       24      287 
       67195.248            0    00  00       23      290 
       67395.248            0    00  00       24      288 
       67595.248            0    00  00       23      288 
       67795.248            0    00  00       23      288 
       67995.240            0    00  00       23      289 
       68195.240            0    00  00       24      287 
       68395.240            0    00  00       23      287 
       68595.240            0    00  00       23      288 
       68795.240            0    00  00       22      288 
       68995.240            0    00  00       23      288 
       69195.232            0    00  00       23      287 
       69395.232            0    00  00       22      288 
       69595.232            0    00  00       23      288 
       69795.232            0    00  00       24      287 
       69995.232            0    00  00       23      289 
       70195.232            0    00  00       24      287 
       70395.232            0    00  00       22      288 
       70595.224            0    00  00       23      287 
       70795.224            0    00  00       23      289 
       70995.224            0    00  00       23      287 
       71195.224            0    00  00       24      287 
       71395.224            0    00  00       24      287 
       71595.224            0    00  00       23      289 
       71795.216            0    00  00       24      289 
       71995.216            0    00  00       23      287 
       72195.216            0    00  00       22      289 
       72395.216            0    00  00       23      288 
       72595.216            0    00  00       23      290 
       72795.216            0    00  00       23      288 
       72995.208            0    00  00       23      287 
       73195.208            0    00  00       24      287 
       73395.208            0    00  00       23      288 
       73595.208            0    00  00       23      288 
       73795.208            0    00  00       23      287 
       73995.208            0    00  00       23      289 
       74195.208            0    00  00       23      288 
       74395.200            0    00  00       24      288 
       74595.200            0    00  00       24      287 
       74795.200            0    00  00       24      290 
       74995.200            0    00  00       23      288 
       75195.200            0    00  00       23      289 
       75395.200            0    00  00       23      287 
       75595.192            0    00  00       24      286 
       75795.192            0    00  00       23      287 
       75995.192            0    00  00       23      288 
       76195.192            0    00  00       23      287 
       76395.192            0    00  00       23      288 
       76595.192            0    00  00       23      288 
       76795.192            0    00  00       23      288 
       76995.184            0    00  00       23      289 
       77195.184            0    00  00       23      288 
       77395.184            0    00  00       23      287 
       77595.184            0    00  00       24      287 
       77795.184            0    00  00       23      287 
       77995.184            0    00  00       23      288 
       78195.176            0    00  00       23      288 
       78395.176            0    00  00       23      286 
       78595.176            0    00  00       23      297 
       78795.176            0    00  00       24      287 
       78995.176            0    00  00       23      288 
       79195.176            0    00  00       24      288 
       79395.168            0    00  00       23      287 
       79595.168            0    00  00       23      288 
       79795.168            0    00  00       23      287 
       79995.168            0    00  00       23      288 
       80195.168            0    00  00       23      289 
       80395.168            0    00  00       24      287 
       80595.168            0    00  00       23      288 
       80795.160            0    00  00       24      288 
       80995.160            0    00  00       23      287 
       81195.160            0    00  00       22      289 
       81395.160            0    00  00       23      288 
       81595.160            0    00  00       23      288 
       81795.160            0    00  00       23      288 
       81995.152            0    00  00       24      287 
       82195.152            0    00  00       23      287 
       82395.152            0    00  00       24      287 
       82595.152            0    00  00       23      288 
       82795.152            0    00  00       23      288 
       82995.152            0    00  00       23      288 
       83195.152            0    00  00       23      286 
       83395.144            0    00  00       23      288 
       83595.144            0    00  00       24      288 
       83795.144            0    00  00       23      288 
       83995.144            0    00  00       23      287 
       84195.144            0    00  00       22      288 
       84395.144            0    00  00       23      288 
       84595.136            0    00  00       24      287 
       84795.136            0    00  00       23      287 
       84995.136            0    00  00       24      288 
       85195.136            0    00  00       24      299 
       85395.136            0    00  00       24      287 
       85595.136            0    00  00       24      288 
       85795.136            0    00  00       23      286 
       85995.128            0    00  00       23      289 
       86195.128            0    00  00       23      288 
       86395.128            0    00  00       22      289 
       86595.128            0    00  00       24      286 
       86795.128            0    00  00       24      288 
       86995.128            0    00  00       23      289 
       87195.120            0    00  00       23      288 
       87395.120            0    00  00       23      287 
       87595.120            0    00  00       23      288 
       87795.120            0    00  00       23      288 
       87995.120            0    00  00       23      288 
       88195.120            0    00  00       24      288 
       88395.112            0    00  00       23      287 
       88595.112            0    00  00       23      289 
       88795.112            0    00  00       23      288 
       88995.112            0    00  00       23      287 
       89195.112            0    00  00       23      288 
       89395.112            0    00  00       23      288 
       89595.112            0    00  00       23      287 
       89795.104            0    00  00       24      287 
       89995.104            0    00  00       23      288 
       90195.104            0    00  00       24      286 
       90395.104            0    00  00       23      288 
       90595.104            0    00  00       23      286 
       90795.104            0    00  00       23      288 
       90995.096            0    00  00       23      287 
       91195.096            0    00  00       23      289 
       91395.096            0    00  00       24      288 
       91595.096            0    00  00       23      288 
       91795.096            0    00  00       24      288 
       91995.096            0    00  00       23      288 
       92195.096            0    00  00       23      288 
       92395.088            0    00  00       23      289 
       92595.088            0    00  00       24      288 
       92795.088            0    00  00       23      288 
       92995.088            0    00  00       24      288 
       93195.088            0    00  00       23      287 
       93395.088            0    00  00       24      287 
       93595.080            0    00  00       24      288 
       93795.080            0    00  00       23      286 
       93995.080            0    00  00       23      289 
       94195.080            0    00  00       24      288 
       94395.080            0    00  00       23      289 
       94595.080            0    00  00       24      288 
       94795.072            0    00  00       23      288 
       94995.072            0    00  00       23      288 
       95195.072            0    00  00       23      289 
       95395.072            0    00  00       23      285 
       95595.072            0    00  00       23      288 
       95795.072            0    00  00       24      287 
       95995.072            0    00  00       23      288 
       96195.064            0    00  00       24      287 
       96395.064            0    00  00       22      288 
       96595.064            0    00  00       23      288 
       96795.064            0    00  00       23      289 
       96995.064            0    00  00       23      288 
       97195.064            0    00  00       24      287 
       97395.056            0    00  00       24      288 
       97595.056            0    00  00       24      288 
       97795.056            0    00  00       24      287 
       97995.056            0    00  00       22      288 
       98195.056            0    00  00       23      287 
       98395.056            0    00  00       24      287 
       98595.056            0    00  00       23      288 
       98795.048            0    00  00       23      288 
       98995.048            0    00  00       24      287 
       99195.048            0    00  00       24      288 
       99395.048            0    00  00       23      288 
       99595.048            0    00  00       22      289 
       99795.048            0    00  00       22      289 
       99995.040            0    00  00       23      289 
      100195.040            0    00  00       23      287 
      100395.040            0    00  00       23      289 
      100595.040            0    00  00       23      288 
      100795.040            0    00  00       23      286 
      100995.040            0    00  00       23      287 
      101195.040            0    00  00       22      288 
      101395.032            0    00  00       23      289 
      101595.032            0    00  00       23      288 
      101795.032            0    00  00       23      288 
      101995.032            0    00  00       24      288 
      102195.032            0    00  00       23      289 
      102395.032            0    00  00       24      288 
      102595.024            0    00  00       23      288 
      102795.024            0    00  00       23      286 
      102995.024            0    00  00       23      288 
      103195.024            0    00  00       24      288 
      103395.024            0    00  00       23      288 
      103595.024            0    00  00       24      286 
      103795.016            0    00  00       23      287 
      103995.016            0    00  00       23      289 
      104195.016            0    00  00       23      289 
      104395.016            0    00  00       22      288 
      104595.016            0    00  00       23      288 
      104795.016            0    00  00       24      287 
      104995.016            0    00  00       23      289 
      105195.008            0    00  00       24      288 
      105395.008            0    00  00       23      288 
      105595.008            0    00  00       24      290 
      105795.008            0    00  00       23      289 
      105995.008            0    00  00       23      288 
      106195.008            0    00  00       23      288 
      106395.000            0    00  00       24      287 
      106595.000            0    00  00       23      287 
      106795.000            0    00  00       24      288 
      106995.000            0    00  00       23      288 
      107195.000            0    00  00       23      288 
      107395.000            0    00  00       23      288 
      107595.000            0    00  00       23      288 
      107794.992            0    00  00       23      289 
      107994.992            0    00  00       24      289 
      108194.992            0    00  00       23      288 
      108394.992            0    00  00       24      288 
      108594.992            0    00  00       22      288 
      108794.992            0    00  00       23      288 
      108994.984            0    00  00       24      287 
      109194.984            0    00  00       23      287 
      109394.984            0    00  00       23      289 
      109594.984            0    00  00       24      288 
      109794.984            0    00  00       23      287 
      109994.984            0    00  00       24      288 
      110194.984            0    00  00       22      288 
      110394.976            0    00  00       23      288 
      110594.976            0    00  00       23      288 
      110794.976            0    00  00       23      290 
      110994.976            0    00  00       24      288 
      111194.976            0    00  00       24      288 
      111394.976            0    00  00       23      289 
      111594.968            0    00  00       24      288 
      111794.968            0    00  00       23      287 
      111994.968            0    00  00       23      289 
      112194.968            0    00  00       24      288 
      112394.968            0    00  00       23      287 
      112594.968            0    00  00       23      289 
      112794.960            0    00  00       23      288 
      112994.960            0    00  00       24      288 
      113194.960            0    00  00       23      288 
      113394.960            0    00  00       23      289 
      113594.960            0    00  00       23      289 
      113794.960            0    00  00       23      287 
      113994.960            0    00  00       23      287 
      114194.952            0    00  00       24      288 
      114394.952            0    00  00       23      288 
      114594.952            0    00  00       23      288 
      114794.952            0    00  00       23      288 
      114994.952            0    00  00       23      288 
      115194.952            0    00  00       24      286 
      115394.944            0    00  00       23      288 
      115594.944            0    00  00       23      293 
      115794.944            0    00  00       24      288 
      115994.944            0    00  00       23      288 
      116194.944            0    00  00       24      288 
      116394.944            0    00  00       23      288 
      116594.944            0    00  00       23      287 
      116794.936            0    00  00       23      288 
      116994.936            0    00  00       23      289 
      117194.936            0    00  00       23      289 
      117394.936            0    00  00       24      286 
      117594.936            0    00  00       23      287 
      117794.936            0    00  00       24      288 
      117994.928            0    00  00       23      288 
      118194.928            0    00  00       23      288 
      118394.928            0    00  00       23      289 
      118594.928            0    00  00       24      288 
      118794.928            0    00  00       23      287 
      118994.928            0    00  00       24      286 
      119194.920            0    00  00       23      288 
      119394.920            0    00  00       23      287 
      119594.920            0    00  00       23      288 
      119794.920            0    00  00       22      289 
      119994.920            0    00  00       23      289 
      120194.920            0    00  00       24      287 
      120394.920            0    00  00       23      288 
      120594.912            0    00  00       24      287 
      120794.912            0    00  00       22      287 
      120994.912            0    00  00       23      288 
      121194.912            0    00  00       23      290 
      121394.912            0    00  00       23      288 
      121594.912            0    00  00       23      287 
      121794.904            0    00  00       24      288 
      121994.904            0    00  00       24      287 
      122194.904            0    00  00       24      288 
      122394.904            0    00  00       24      287 
      122594.904            0    00  00       23      287 
      122794.904            0    00  00       23      288 
      122994.904            0    00  00       23      288 
      123194.896            0    00  00       23      288 
      123394.896            0    00  00       24      288 
      123594.896            0    00  00       23      288 
      123794.896            0    00  00       24      288 
      123994.896            0    00  00       22      287 
      124194.896            0    00  00       23      287 
      124394.888            0    00  00       23      288 
      124594.888            0    00  00       23      290 
      124794.888            0    00  00       24      288 
      124994.888            0    00  00       23      287 
      125194.888            0    00  00       24      288 
      125394.888            0    00  00       24      288 
      125594.888            0    00  00       23      288 
      125794.880            0    00  00       23      288 
      125994.880            0    00  00       23      287 
      126194.880            0    00  00       23      287 
      126394.880            0    00  00       24      288 
      126594.880            0    00  00       23      288 
      126794.880            0    00  00       24      286 
      126994.872            0    00  00       23      287 
      127194.872            0    00  00       23      288 
      127394.872            0    00  00       23      286 
      127594.872            0    00  00       24      288 
      127794.872            0    00  00       23      288 
      127994.872            0    00  00       23      287 
      128194.864            0    00  00       23      289 
      128394.864            0    00  00       24      288 
      128594.864            0    00  00       23      288 
      128794.864            0    00  00       23      288 
      128994.864            0    00  00       23      288 
      129194.864            0    00  00       24      287 
      129394.864            0    00  00       23      287 
      129594.856            0    00  00       24      288 
      129794.856            0    00  00       23      287 
      129994.856            0    00  00       24      288 
      130194.856            0    00  00       23      289 
      130394.856            0    00  00       23      287 
      130594.856            0    00  00       23      288 
      130794.848            0    00  00       24      287 
      130994.848            0    00  00       23      288 
      131194.848            0    00  00       23      289 
      131394.848            0    00  00       23      288 
      131594.848            0    00  00       24      287 
      131794.848            0    00  00       23      288 
      131994.848            0    00  00       23      288 
      132194.840            0    00  00       23      288 
      132394.840            0    00  00       24      286 
      132594.840            0    00  00       23      289 
      132794.840            0    00  00       24      288 
      132994.840            0    00  00       22      288 
      133194.840            0    00  00       23      289 
      133394.832            0    00  00       23      288 
      133594.832            0    00  00       23      288 
      133794.832            0    00  00       24      287 
      133994.832            0    00  00       24      288 
      134194.832            0    00  00       23      287 
      134394.832            0    00  00       24      287 
      134594.824            0    00  00       23      288 
      134794.824            0    00  00       23      288 
      134994.824            0    00  00       23      288 
      135194.824            0    00  00       23      287 
      135394.824            0    00  00       24      288 
      135594.824            0    00  00       24      288 
      135794.824            0    00  00       23      287 
      135994.816            0    00  00       24      288 
      136194.816            0    00  00       22      287 
      136394.816            0    00  00       23      288 
      136594.816            0    00  00       24      288 
      136794.816            0    00  00       23      286 
      136994.816            0    00  00       23      288 
      137194.808            0    00  00       23      288 
