//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 18:00:20 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
           5.720            0    00  00       21      278 
         205.720            0    00  00       22      278 
         405.712            0    00  00       23      277 
         605.712            0    00  00       22      277 
         805.712            0    00  00       23      276 
        1005.712            0    00  00       23      277 
        1205.712            0    00  00       22      279 
        1405.712            0    00  00       23      279 
        1605.712            0    00  00       22      278 
        1805.704            0    00  00       22      278 
        2005.704            0    00  00       23      277 
        2205.704            0    00  00       22      277 
        2405.704            0    00  00       23      277 
        2605.704            0    00  00       23      277 
        2805.704            0    00  00       22      278 
        3005.696            0    00  00       23      278 
        3205.696            0    00  00       21      278 
        3405.696            0    00  00       23      277 
        3605.696            0    00  00       23      276 
        3805.696            0    00  00       22      277 
        4005.696            0    00  00       23      277 
        4205.688            0    00  00       23      278 
        4405.688            0    00  00       22      279 
        4605.688            0    00  00       23      277 
        4805.688            0    00  00       23      277 
        5005.688            0    00  00       22      278 
        5205.688            0    00  00       23      277 
        5405.688            0    00  00       22      278 
        5605.680            0    00  00       22      277 
        5805.680            0    00  00       23      277 
        6005.680            0    00  00       23      278 
        6205.680            0    00  00       23      277 
        6405.680            0    00  00       22      278 
        6605.680            0    00  00       23      278 
        6805.672            0    00  00       23      278 
        7005.672            0    00  00       22      278 
        7205.672            0    00  00       22      286 
        7405.672            0    00  00       23      277 
        7605.672            0    00  00       22      277 
        7805.672            0    00  00       23      279 
        8005.664            0    00  00       22      278 
        8205.664            0    00  00       23      277 
        8405.664            0    00  00       22      278 
        8605.664            0    00  00       22      278 
        8805.664            0    00  00       22      278 
        9005.664            0    00  00       23      277 
        9205.664            0    00  00       22      278 
        9405.656            0    00  00       23      277 
        9605.656            0    00  00       22      284 
        9805.656            0    00  00       23      278 
       10005.656            0    00  00       22      277 
       10205.656            0    00  00       22      278 
       10405.656            0    00  00       22      278 
       10605.648            0    00  00       23      278 
       10805.648            0    00  00       22      278 
       11005.648            0    00  00       23      277 
       11205.648            0    00  00       22      276 
       11405.648            0    00  00       23      277 
       11605.648            0    00  00       23      277 
       11805.648            0    00  00       22      276 
       12005.640            0    00  00       23      277 
       12205.640            0    00  00       23      277 
       12405.640            0    00  00       23      278 
       12605.640            0    00  00       23      279 
       12805.640            0    00  00       23      278 
       13005.640            0    00  00       23      278 
       13205.632            0    00  00       23      277 
       13405.632            0    00  00       22      276 
       13605.632            0    00  00       22      276 
       13805.632            0    00  00       23      276 
       14005.632            0    00  00       22      278 
       14205.632            0    00  00       23      277 
       14405.624            0    00  00       23      277 
       14605.624            0    00  00       23      277 
       14805.624            0    00  00       23      278 
       15005.624            0    00  00       22      278 
       15205.624            0    00  00       22      277 
       15405.624            0    00  00       23      277 
       15605.624            0    00  00       22      278 
       15805.616            0    00  00       23      278 
       16005.616            0    00  00       23      277 
       16205.616            0    00  00       23      277 
       16405.616            0    00  00       22      277 
       16605.616            0    00  00       22      278 
       16805.616            0    00  00       22      278 
       17005.608            0    00  00       23      277 
       17205.608            0    00  00       22      278 
       17405.608            0    00  00       22      277 
       17605.608            0    00  00       23      276 
       17805.608            0    00  00       22      278 
       18005.608            0    00  00       23      278 
       18205.608            0    00  00       22      278 
       18405.600            0    00  00       22      278 
       18605.600            0    00  00       23      277 
       18805.600            0    00  00       22      277 
       19005.600            0    00  00       23      277 
       19205.600            0    00  00       23      277 
       19405.600            0    00  00       23      277 
       19605.592            0    00  00       23      277 
       19805.592            0    00  00       21      277 
       20005.592            0    00  00       23      277 
       20205.592            0    00  00       23      276 
       20405.592            0    00  00       22      277 
       20605.592            0    00  00       23      277 
       20805.584            0    00  00       23      277 
       21005.584            0    00  00       23      277 
       21205.584            0    00  00       23      277 
       21405.584            0    00  00       23      278 
       21605.584            0    00  00       22      277 
       21805.584            0    00  00       23      276 
       22005.584            0    00  00       22      276 
       22205.576            0    00  00       22      278 
       22405.576            0    00  00       23      278 
       22605.576            0    00  00       22      279 
       22805.576            0    00  00       23      277 
       23005.576            0    00  00       22      277 
       23205.576            0    00  00       23      277 
       23405.568            0    00  00       23      276 
       23605.568            0    00  00       22      278 
       23805.568            0    00  00       22      278 
       24005.568            0    00  00       23      276 
       24205.568            0    00  00       22      278 
       24405.568            0    00  00       23      277 
       24605.560            0    00  00       22      277 
       24805.560            0    00  00       23      278 
       25005.560            0    00  00       23      277 
       25205.560            0    00  00       22      277 
       25405.560            0    00  00       23      277 
       25605.560            0    00  00       23      278 
       25805.560            0    00  00       23      277 
       26005.552            0    00  00       23      280 
       26205.552            0    00  00       22      278 
       26405.552            0    00  00       23      278 
       26605.552            0    00  00       22      277 
       26805.552            0    00  00       22      278 
       27005.552            0    00  00       22      279 
       27205.544            0    00  00       23      277 
       27405.544            0    00  00       22      278 
       27605.544            0    00  00       23      277 
       27805.544            0    00  00       22      281 
       28005.544            0    00  00       23      277 
       28205.544            0    00  00       23      276 
       28405.544            0    00  00       22      277 
       28605.536            0    00  00       22      278 
       28805.536            0    00  00       23      278 
       29005.536            0    00  00       22      279 
       29205.536            0    00  00       23      278 
       29405.536            0    00  00       23      277 
       29605.536            0    00  00       23      278 
       29805.528            0    00  00       23      277 
       30005.528            0    00  00       22      278 
       30205.528            0    00  00       22      276 
       30405.528            0    00  00       23      277 
       30605.528            0    00  00       22      277 
       30805.528            0    00  00       23      278 
       31005.520            0    00  00       22      278 
       31205.520            0    00  00       23      277 
       31405.520            0    00  00       23      277 
       31605.520            0    00  00       22      278 
       31805.520            0    00  00       22      278 
       32005.520            0    00  00       23      277 
       32205.520            0    00  00       22      278 
       32405.512            0    00  00       23      277 
       32605.512            0    00  00       23      278 
       32805.512            0    00  00       23      278 
       33005.512            0    00  00       22      277 
       33205.512            0    00  00       22      277 
       33405.512            0    00  00       22      278 
       33605.504            0    00  00       23      277 
       33805.504            0    00  00       22      278 
       34005.504            0    00  00       23      278 
       34205.504            0    00  00       23      277 
       34405.504            0    00  00       23      278 
       34605.504            0    00  00       23      278 
       34805.504            0    00  00       22      278 
       35005.496            0    00  00       22      278 
       35205.496            0    00  00       23      277 
       35405.496            0    00  00       22      278 
       35605.496            0    00  00       22      284 
       35805.496            0    00  00       23      277 
       36005.496            0    00  00       22      278 
       36205.488            0    00  00       23      277 
       36405.488            0    00  00       22      278 
       36605.488            0    00  00       22      278 
       36805.488            0    00  00       22      278 
       37005.488            0    00  00       22      278 
       37205.488            0    00  00       23      277 
       37405.480            0    00  00       23      278 
