//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 17:58:06 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         117.384            0    00  00       23      262 
         317.384            0    00  00       23      262 
         517.376            0    00  00       23      262 
         717.376            0    00  00       22      263 
         917.376            0    00  00       22      264 
        1117.376            0    00  00       22      264 
        1317.376            0    00  00       23      262 
        1517.376            0    00  00       23      263 
        1717.376            0    00  00       23      266 
        1917.368            0    00  00       23      263 
        2117.368            0    00  00       22      263 
        2317.368            0    00  00       23      262 
        2517.368            0    00  00       23      264 
        2717.368            0    00  00       22      263 
        2917.368            0    00  00       22      263 
        3117.360            0    00  00       23      262 
        3317.360            0    00  00       22      263 
        3517.360            0    00  00       23      262 
        3717.360            0    00  00       23      262 
        3917.360            0    00  00       23      262 
        4117.360            0    00  00       23      262 
        4317.360            0    00  00       22      263 
        4517.352            0    00  00       22      267 
        4717.352            0    00  00       23      263 
        4917.352            0    00  00       22      263 
        5117.352            0    00  00       23      261 
        5317.352            0    00  00       23      264 
        5517.352            0    00  00       23      261 
        5717.344            0    00  00       22      263 
        5917.344            0    00  00       21      264 
        6117.344            0    00  00       22      263 
        6317.344            0    00  00       23      263 
        6517.344            0    00  00       22      263 
        6717.344            0    00  00       23      263 
        6917.336            0    00  00       23      263 
        7117.336            0    00  00       23      262 
        7317.336            0    00  00       23      262 
        7517.336            0    00  00       23      265 
        7717.336            0    00  00       23      263 
        7917.336            0    00  00       22      263 
        8117.336            0    00  00       22      263 
        8317.328            0    00  00       22      264 
        8517.328            0    00  00       23      264 
        8717.328            0    00  00       22      263 
        8917.328            0    00  00       23      263 
        9117.328            0    00  00       22      263 
        9317.328            0    00  00       23      262 
        9517.320            0    00  00       22      262 
        9717.320            0    00  00       22      263 
        9917.320            0    00  00       22      264 
       10117.320            0    00  00       23      263 
       10317.320            0    00  00       22      263 
       10517.320            0    00  00       23      263 
       10717.312            0    00  00       22      263 
       10917.312            0    00  00       23      264 
       11117.312            0    00  00       23      263 
