//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 17:54:04 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         143.488            0    00  00       24      101 
         343.488            0    00  00       24      106 
         543.488            0    00  00       23      102 
         743.488            0    00  00       24       98 
         943.488            0    00  00       24      103 
        1143.488            0    00  00       23       99 
        1343.480            0    00  00       24      105 
        1543.480            0    00  00       25       99 
        1743.480            0    00  00       25       98 
        1943.480            0    00  00       25      102 
        2143.480            0    00  00       23      103 
        2343.480            0    00  00       24      100 
        2543.472            0    00  00       24      100 
        2743.472            0    00  00       24       99 
        2943.472            0    00  00       24      102 
        3143.472            0    00  00       24      109 
        3343.472            0    00  00       25       96 
        3543.472            0    00  00       24      101 
        3743.464            0    00  00       24      103 
        3943.464            0    00  00       24      105 
        4143.464            0    00  00       25      106 
        4343.464            0    00  00       24      102 
        4543.464            0    00  00       24       94 
        4743.464            0    00  00       24      111 
        4943.464            0    00  00       24       98 
        5143.456            0    00  00       24      100 
        5343.456            0    00  00       24      104 
        5543.456            0    00  00       25       99 
        5743.456            0    00  00       25       95 
        5943.456            0    00  00       24      108 
        6143.456            0    00  00       25       99 
        6343.448            0    00  00       23      105 
        6543.448            0    00  00       23      106 
        6743.448            0    00  00       24       98 
        6943.448            0    00  00       24      101 
        7143.448            0    00  00       24      104 
        7343.448            0    00  00       24      104 
        7543.440            0    00  00       24      100 
        7743.440            0    00  00       25       97 
        7943.440            0    00  00       24      104 
        8143.440            0    00  00       24      104 
        8343.440            0    00  00       24      101 
        8543.440            0    00  00       24      102 
        8743.440            0    00  00       23      104 
        8943.432            0    00  00       24       97 
        9143.432            0    00  00       25       98 
        9343.432            0    00  00       24      102 
        9543.432            0    00  00       24      106 
        9743.432            0    00  00       24      107 
        9943.432            0    00  00       24      105 
       10143.424            0    00  00       24      107 
       10343.424            0    00  00       24       96 
       10543.424            0    00  00       24      103 
       10743.424            0    00  00       25      102 
       10943.424            0    00  00       23      107 
       11143.424            0    00  00       24      103 
       11343.416            0    00  00       24       99 
       11543.416            0    00  00       24       97 
       11743.416            0    00  00       24       97 
       11943.416            0    00  00       25       99 
       12143.416            0    00  00       24       98 
       12343.416            0    00  00       24      108 
       12543.408            0    00  00       25       98 
       12743.408            0    00  00       25      100 
       12943.408            0    00  00       25       98 
       13143.408            0    00  00       24       95 
       13343.408            0    00  00       23      108 
       13543.408            0    00  00       24       94 
       13743.408            0    00  00       23      101 
       13943.400            0    00  00       24      102 
       14143.400            0    00  00       24      100 
       14343.400            0    00  00       24      103 
       14543.400            0    00  00       25       99 
       14743.400            0    00  00       24      102 
       14943.400            0    00  00       24      110 
       15143.392            0    00  00       24       95 
       15343.392            0    00  00       24       97 
       15543.392            0    00  00       24      103 
       15743.392            0    00  00       24      103 
       15943.392            0    00  00       24      101 
       16143.392            0    00  00       24      108 
       16343.384            0    00  00       25      102 
       16543.384            0    00  00       25       97 
       16743.384            0    00  00       24      107 
       16943.384            0    00  00       24      102 
       17143.384            0    00  00       25      100 
       17343.384            0    00  00       23      102 
       17543.384            0    00  00       23      102 
       17743.376            0    00  00       24      100 
       17943.376            0    00  00       24      104 
       18143.376            0    00  00       24      108 
       18343.376            0    00  00       24      106 
       18543.376            0    00  00       25       99 
       18743.376            0    00  00       24      105 
       18943.368            0    00  00       25      104 
       19143.368            0    00  00       24      100 
       19343.368            0    00  00       25      101 
       19543.368            0    00  00       24       99 
       19743.368            0    00  00       23      110 
       19943.368            0    00  00       24      108 
       20143.360            0    00  00       24      103 
       20343.360            0    00  00       23      113 
       20543.360            0    00  00       24      104 
       20743.360            0    00  00       25      107 
       20943.360            0    00  00       24      104 
       21143.360            0    00  00       24      109 
       21343.352            0    00  00       24       97 
       21543.352            0    00  00       24      108 
       21743.352            0    00  00       24      103 
       21943.352            0    00  00       23      103 
       22143.352            0    00  00       24      101 
       22343.352            0    00  00       24      105 
       22543.352            0    00  00       23      106 
       22743.344            0    00  00       25       92 
       22943.344            0    00  00       25      103 
       23143.344            0    00  00       24      106 
       23343.344            0    00  00       24      105 
       23543.344            0    00  00       23       95 
       23743.344            0    00  00       24      105 
       23943.336            0    00  00       24      108 
       24143.336            0    00  00       23      103 
       24343.336            0    00  00       24      101 
       24543.336            0    00  00       25      100 
       24743.336            0    00  00       24      102 
       24943.336            0    00  00       24      102 
       25143.328            0    00  00       24       98 
       25343.328            0    00  00       24      106 
       25543.328            0    00  00       24      108 
       25743.328            0    00  00       24       98 
       25943.328            0    00  00       24      104 
       26143.328            0    00  00       24      102 
       26343.328            0    00  00       24      101 
       26543.320            0    00  00       24       96 
       26743.320            0    00  00       24      103 
       26943.320            0    00  00       24       96 
       27143.320            0    00  00       24      103 
       27343.320            0    00  00       26      100 
       27543.320            0    00  00       24      105 
       27743.312            0    00  00       25       99 
       27943.312            0    00  00       23      103 
       28143.312            0    00  00       24       99 
       28343.312            0    00  00       24       98 
       28543.312            0    00  00       23      107 
       28743.312            0    00  00       24      112 
       28943.304            0    00  00       25      109 
       29143.304            0    00  00       24      104 
       29343.304            0    00  00       24      103 
       29543.304            0    00  00       24       96 
       29743.304            0    00  00       24      109 
       29943.304            0    00  00       25      106 
       30143.304            0    00  00       23       99 
       30343.296            0    00  00       24      106 
       30543.296            0    00  00       24      101 
       30743.296            0    00  00       24      103 
       30943.296            0    00  00       24      104 
       31143.296            0    00  00       25      100 
       31343.296            0    00  00       24       99 
       31543.288            0    00  00       24      108 
       31743.288            0    00  00       24       99 
       31943.288            0    00  00       25      101 
       32143.288            0    00  00       24      107 
       32343.288            0    00  00       23      107 
       32543.288            0    00  00       24      101 
       32743.280            0    00  00       25       99 
       32943.280            0    00  00       24       96 
       33143.280            0    00  00       24      104 
       33343.280            0    00  00       24      108 
       33543.280            0    00  00       24       98 
       33743.280            0    00  00       24      101 
       33943.272            0    00  00       24      101 
       34143.272            0    00  00       24      104 
       34343.272            0    00  00       24      111 
       34543.272            0    00  00       23      104 
       34743.272            0    00  00       24      104 
       34943.272            0    00  00       24      103 
       35143.272            0    00  00       24      101 
