//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 17:55:48 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         144.896            0    00  00       22      204 
         344.896            0    00  00       23      205 
         544.896            0    00  00       22      204 
         744.896            0    00  00       23      204 
         944.896            0    00  00       22      206 
        1144.896            0    00  00       22      203 
        1344.888            0    00  00       22      205 
        1544.888            0    00  00       23      204 
        1744.888            0    00  00       22      203 
        1944.888            0    00  00       23      202 
        2144.888            0    00  00       23      205 
        2344.888            0    00  00       23      205 
        2544.880            0    00  00       23      205 
        2744.880            0    00  00       22      204 
        2944.880            0    00  00       22      204 
        3144.880            0    00  00       23      204 
        3344.880            0    00  00       22      204 
        3544.880            0    00  00       22      204 
        3744.872            0    00  00       23      203 
        3944.872            0    00  00       22      203 
        4144.872            0    00  00       23      203 
        4344.872            0    00  00       22      204 
        4544.872            0    00  00       22      205 
        4744.872            0    00  00       23      204 
        4944.872            0    00  00       22      203 
        5144.864            0    00  00       22      204 
        5344.864            0    00  00       23      204 
        5544.864            0    00  00       22      203 
        5744.864            0    00  00       23      204 
        5944.864            0    00  00       23      206 
        6144.864            0    00  00       23      203 
        6344.856            0    00  00       23      205 
        6544.856            0    00  00       21      204 
        6744.856            0    00  00       22      204 
        6944.856            0    00  00       23      204 
        7144.856            0    00  00       22      204 
        7344.856            0    00  00       22      206 
        7544.848            0    00  00       23      203 
        7744.848            0    00  00       22      204 
        7944.848            0    00  00       23      205 
        8144.848            0    00  00       22      204 
        8344.848            0    00  00       23      203 
        8544.848            0    00  00       23      205 
        8744.848            0    00  00       22      202 
        8944.840            0    00  00       22      203 
        9144.840            0    00  00       23      203 
        9344.840            0    00  00       22      205 
        9544.840            0    00  00       22      206 
        9744.840            0    00  00       23      207 
        9944.840            0    00  00       23      206 
       10144.832            0    00  00       23      203 
       10344.832            0    00  00       21      204 
       10544.832            0    00  00       23      203 
       10744.832            0    00  00       23      204 
       10944.832            0    00  00       22      203 
       11144.832            0    00  00       22      203 
       11344.824            0    00  00       23      204 
       11544.824            0    00  00       22      205 
       11744.824            0    00  00       23      204 
       11944.824            0    00  00       22      203 
       12144.824            0    00  00       23      203 
       12344.824            0    00  00       23      204 
       12544.824            0    00  00       22      204 
       12744.816            0    00  00       22      204 
       12944.816            0    00  00       23      204 
       13144.816            0    00  00       22      203 
       13344.816            0    00  00       23      204 
       13544.816            0    00  00       23      204 
       13744.816            0    00  00       22      205 
       13944.808            0    00  00       23      203 
       14144.808            0    00  00       22      204 
       14344.808            0    00  00       23      206 
       14544.808            0    00  00       22      213 
       14744.808            0    00  00       21      206 
       14944.808            0    00  00       22      206 
       15144.800            0    00  00       23      205 
       15344.800            0    00  00       22      206 
       15544.800            0    00  00       23      203 
       15744.800            0    00  00       22      204 
       15944.800            0    00  00       22      206 
       16144.800            0    00  00       23      204 
       16344.792            0    00  00       23      204 
       16544.792            0    00  00       22      205 
       16744.792            0    00  00       22      205 
       16944.792            0    00  00       22      204 
       17144.792            0    00  00       22      205 
       17344.792            0    00  00       23      204 
       17544.792            0    00  00       22      205 
       17744.784            0    00  00       23      204 
       17944.784            0    00  00       22      204 
       18144.784            0    00  00       23      203 
       18344.784            0    00  00       22      205 
       18544.784            0    00  00       22      203 
       18744.784            0    00  00       22      205 
       18944.776            0    00  00       23      204 
       19144.776            0    00  00       22      205 
       19344.776            0    00  00       23      209 
       19544.776            0    00  00       23      205 
       19744.776            0    00  00       23      202 
       19944.776            0    00  00       23      202 
       20144.768            0    00  00       23      203 
       20344.768            0    00  00       22      205 
       20544.768            0    00  00       22      205 
       20744.768            0    00  00       22      207 
       20944.768            0    00  00       22      205 
       21144.768            0    00  00       23      204 
       21344.768            0    00  00       23      205 
       21544.760            0    00  00       23      205 
       21744.760            0    00  00       22      205 
       21944.760            0    00  00       23      205 
       22144.760            0    00  00       22      204 
       22344.760            0    00  00       22      203 
       22544.760            0    00  00       22      206 
       22744.752            0    00  00       22      207 
       22944.752            0    00  00       22      204 
