//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 17:56:35 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         166.128            0    00  00       23      237 
         366.128            0    00  00       21      235 
         566.128            0    00  00       22      234 
         766.120            0    00  00       23      234 
         966.120            0    00  00       22      234 
        1166.120            0    00  00       23      233 
        1366.120            0    00  00       23      234 
        1566.120            0    00  00       22      235 
        1766.120            0    00  00       23      234 
        1966.112            0    00  00       22      236 
        2166.112            0    00  00       23      234 
        2366.112            0    00  00       22      235 
        2566.112            0    00  00       22      234 
        2766.112            0    00  00       23      234 
        2966.112            0    00  00       23      235 
        3166.112            0    00  00       22      234 
        3366.104            0    00  00       23      233 
        3566.104            0    00  00       23      235 
        3766.104            0    00  00       23      234 
        3966.104            0    00  00       23      237 
        4166.104            0    00  00       22      235 
        4366.104            0    00  00       22      234 
        4566.096            0    00  00       23      235 
        4766.096            0    00  00       22      234 
        4966.096            0    00  00       23      234 
        5166.096            0    00  00       23      235 
        5366.096            0    00  00       22      236 
        5566.096            0    00  00       23      236 
        5766.088            0    00  00       22      236 
        5966.088            0    00  00       23      234 
        6166.088            0    00  00       22      237 
        6366.088            0    00  00       22      235 
        6566.088            0    00  00       22      235 
        6766.088            0    00  00       23      234 
        6966.088            0    00  00       23      233 
        7166.080            0    00  00       23      235 
        7366.080            0    00  00       23      235 
        7566.080            0    00  00       23      234 
        7766.080            0    00  00       22      236 
        7966.080            0    00  00       21      235 
        8166.080            0    00  00       22      237 
        8366.072            0    00  00       23      235 
        8566.072            0    00  00       22      235 
        8766.072            0    00  00       23      232 
        8966.072            0    00  00       23      239 
        9166.072            0    00  00       23      235 
        9366.072            0    00  00       23      235 
        9566.064            0    00  00       23      239 
        9766.064            0    00  00       23      236 
        9966.064            0    00  00       22      235 
       10166.064            0    00  00       22      235 
       10366.064            0    00  00       22      238 
       10566.064            0    00  00       23      233 
       10766.064            0    00  00       22      235 
       10966.056            0    00  00       23      235 
       11166.056            0    00  00       22      235 
       11366.056            0    00  00       23      234 
