//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 17:59:10 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         168.824            0    00  00       23      271 
         368.824            0    00  00       22      271 
         568.824            0    00  00       23      271 
         768.816            0    00  00       22      272 
         968.816            0    00  00       23      272 
        1168.816            0    00  00       23      270 
        1368.816            0    00  00       22      273 
        1568.816            0    00  00       22      271 
        1768.816            0    00  00       23      274 
        1968.816            0    00  00       22      271 
        2168.808            0    00  00       23      270 
        2368.808            0    00  00       23      271 
        2568.808            0    00  00       23      270 
        2768.808            0    00  00       22      272 
        2968.808            0    00  00       22      273 
        3168.808            0    00  00       23      270 
        3368.800            0    00  00       22      271 
        3568.800            0    00  00       22      276 
        3768.800            0    00  00       23      271 
        3968.800            0    00  00       22      272 
        4168.800            0    00  00       23      271 
        4368.800            0    00  00       23      272 
        4568.800            0    00  00       22      272 
        4768.792            0    00  00       22      272 
        4968.792            0    00  00       23      271 
        5168.792            0    00  00       22      272 
        5368.792            0    00  00       23      270 
        5568.792            0    00  00       23      271 
        5768.792            0    00  00       23      271 
        5968.784            0    00  00       23      271 
        6168.784            0    00  00       21      272 
        6368.784            0    00  00       22      271 
        6568.784            0    00  00       23      271 
        6768.784            0    00  00       22      270 
        6968.784            0    00  00       22      271 
        7168.776            0    00  00       23      272 
        7368.776            0    00  00       22      271 
        7568.776            0    00  00       23      270 
        7768.776            0    00  00       22      272 
        7968.776            0    00  00       22      271 
        8168.776            0    00  00       23      271 
        8368.776            0    00  00       22      271 
        8568.768            0    00  00       22      272 
        8768.768            0    00  00       23      271 
        8968.768            0    00  00       22      271 
        9168.768            0    00  00       23      272 
        9368.768            0    00  00       22      273 
        9568.768            0    00  00       23      270 
        9768.760            0    00  00       23      269 
        9968.760            0    00  00       22      270 
       10168.760            0    00  00       22      273 
       10368.760            0    00  00       23      272 
       10568.760            0    00  00       22      273 
       10768.760            0    00  00       23      271 
       10968.752            0    00  00       23      271 
       11168.752            0    00  00       23      272 
       11368.752            0    00  00       23      273 
       11568.752            0    00  00       22      271 
       11768.752            0    00  00       22      272 
       11968.752            0    00  00       23      272 
       12168.752            0    00  00       22      271 
       12368.744            0    00  00       23      272 
       12568.744            0    00  00       23      272 
       12768.744            0    00  00       23      271 
       12968.744            0    00  00       23      272 
       13168.744            0    00  00       22      270 
       13368.744            0    00  00       22      274 
       13568.736            0    00  00       23      271 
       13768.736            0    00  00       22      271 
       13968.736            0    00  00       22      272 
       14168.736            0    00  00       23      272 
       14368.736            0    00  00       22      272 
       14568.736            0    00  00       23      271 
       14768.728            0    00  00       23      272 
       14968.728            0    00  00       22      271 
       15168.728            0    00  00       23      271 
       15368.728            0    00  00       22      271 
       15568.728            0    00  00       23      270 
       15768.728            0    00  00       23      272 
       15968.728            0    00  00       22      271 
       16168.720            0    00  00       23      271 
       16368.720            0    00  00       23      271 
       16568.720            0    00  00       23      272 
       16768.720            0    00  00       22      271 
       16968.720            0    00  00       22      296 
       17168.720            0    00  00       22      272 
       17368.712            0    00  00       23      272 
       17568.712            0    00  00       22      271 
       17768.712            0    00  00       23      271 
       17968.712            0    00  00       22      272 
       18168.712            0    00  00       23      271 
       18368.712            0    00  00       23      271 
       18568.712            0    00  00       22      271 
       18768.704            0    00  00       22      271 
       18968.704            0    00  00       23      271 
       19168.704            0    00  00       22      271 
       19368.704            0    00  00       23      272 
       19568.704            0    00  00       23      271 
       19768.704            0    00  00       23      271 
       19968.696            0    00  00       22      272 
       20168.696            0    00  00       21      272 
       20368.696            0    00  00       22      270 
       20568.696            0    00  00       23      271 
       20768.696            0    00  00       22      271 
       20968.696            0    00  00       23      272 
       21168.688            0    00  00       22      271 
       21368.688            0    00  00       23      270 
       21568.688            0    00  00       23      270 
       21768.688            0    00  00       21      272 
       21968.688            0    00  00       22      271 
       22168.688            0    00  00       23      271 
       22368.688            0    00  00       22      273 
       22568.680            0    00  00       22      271 
       22768.680            0    00  00       23      272 
       22968.680            0    00  00       22      272 
       23168.680            0    00  00       23      271 
       23368.680            0    00  00       22      270 
       23568.680            0    00  00       22      271 
       23768.672            0    00  00       23      272 
       23968.672            0    00  00       22      271 
       24168.672            0    00  00       22      272 
       24368.672            0    00  00       23      271 
       24568.672            0    00  00       22      272 
       24768.672            0    00  00       23      271 
       24968.664            0    00  00       23      271 
       25168.664            0    00  00       23      271 
       25368.664            0    00  00       23      273 
       25568.664            0    00  00       22      271 
       25768.664            0    00  00       23      271 
       25968.664            0    00  00       23      271 
       26168.664            0    00  00       22      272 
       26368.656            0    00  00       23      272 
       26568.656            0    00  00       22      272 
       26768.656            0    00  00       23      271 
       26968.656            0    00  00       22      272 
       27168.656            0    00  00       22      271 
       27368.656            0    00  00       22      273 
       27568.648            0    00  00       23      272 
       27768.648            0    00  00       22      271 
       27968.648            0    00  00       23      272 
       28168.648            0    00  00       22      271 
       28368.648            0    00  00       23      271 
       28568.648            0    00  00       23      272 
       28768.648            0    00  00       22      271 
       28968.640            0    00  00       22      271 
       29168.640            0    00  00       23      271 
       29368.640            0    00  00       22      272 
       29568.640            0    00  00       23      270 
       29768.640            0    00  00       23      272 
       29968.640            0    00  00       23      271 
       30168.632            0    00  00       22      272 
       30368.632            0    00  00       21      271 
       30568.632            0    00  00       22      272 
       30768.632            0    00  00       23      271 
       30968.632            0    00  00       22      272 
       31168.632            0    00  00       23      271 
       31368.624            0    00  00       23      272 
       31568.624            0    00  00       23      270 
       31768.624            0    00  00       23      272 
       31968.624            0    00  00       23      271 
       32168.624            0    00  00       22      278 
       32368.624            0    00  00       23      270 
       32568.624            0    00  00       22      271 
       32768.616            0    00  00       22      272 
       32968.616            0    00  00       23      272 
       33168.616            0    00  00       23      272 
       33368.616            0    00  00       23      269 
       33568.616            0    00  00       22      272 
       33768.616            0    00  00       23      272 
       33968.608            0    00  00       22      272 
       34168.608            0    00  00       22      272 
       34368.608            0    00  00       22      273 
       34568.608            0    00  00       23      271 
       34768.608            0    00  00       22      271 
       34968.608            0    00  00       23      270 
       35168.600            0    00  00       23      271 
       35368.600            0    00  00       23      272 
       35568.600            0    00  00       22      271 
       35768.600            0    00  00       21      272 
       35968.600            0    00  00       22      271 
       36168.600            0    00  00       23      271 
       36368.600            0    00  00       22      271 
       36568.592            0    00  00       23      270 
       36768.592            0    00  00       23      272 
       36968.592            0    00  00       23      271 
       37168.592            0    00  00       22      273 
       37368.592            0    00  00       21      272 
       37568.592            0    00  00       22      271 
       37768.584            0    00  00       22      272 
       37968.584            0    00  00       22      270 
       38168.584            0    00  00       23      271 
       38368.584            0    00  00       23      272 
       38568.584            0    00  00       23      274 
       38768.584            0    00  00       24      270 
       38968.584            0    00  00       22      271 
       39168.576            0    00  00       22      274 
       39368.576            0    00  00       22      272 
       39568.576            0    00  00       22      271 
       39768.576            0    00  00       22      271 
       39968.576            0    00  00       23      271 
       40168.576            0    00  00       23      271 
       40368.568            0    00  00       23      272 
       40568.568            0    00  00       22      272 
       40768.568            0    00  00       23      270 
       40968.568            0    00  00       23      271 
       41168.568            0    00  00       22      293 
       41368.568            0    00  00       22      271 
       41568.560            0    00  00       23      272 
       41768.560            0    00  00       22      271 
       41968.560            0    00  00       23      271 
       42168.560            0    00  00       23      288 
       42368.560            0    00  00       23      271 
       42568.560            0    00  00       22      274 
       42768.560            0    00  00       22      271 
       42968.552            0    00  00       22      270 
       43168.552            0    00  00       23      271 
       43368.552            0    00  00       23      271 
       43568.552            0    00  00       23      271 
