//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 17:53:12 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
          66.976            0    00  00       32       50 
         266.976            0    00  00       29       56 
         466.976            0    00  00       31       53 
         666.976            0    00  00       34       44 
         866.976            0    00  00       30       54 
        1066.968            0    00  00       30       56 
        1266.968            0    00  00       32       49 
        1466.968            0    00  00       29       61 
        1666.968            0    00  00       35       46 
        1866.968            0    00  00       28       58 
        2066.968            0    00  00       33       47 
        2266.960            0    00  00       32       49 
        2466.960            0    00  00       29       56 
        2666.960            0    00  00       30       58 
        2866.960            0    00  00       34       47 
        3066.960            0    00  00       30       55 
        3266.960            0    00  00       36       39 
        3466.952            0    00  00       30       55 
        3666.952            0    00  00       32       54 
        3866.952            0    00  00       34       48 
        4066.952            0    00  00       36       38 
        4266.952            0    00  00       32       49 
        4466.952            0    00  00       31       52 
        4666.952            0    00  00       32       50 
        4866.944            0    00  00       29       58 
        5066.944            0    00  00       30       55 
        5266.944            0    00  00       32       49 
        5466.944            0    00  00       31       61 
        5666.944            0    00  00       32       46 
        5866.944            0    00  00       32       52 
        6066.936            0    00  00       35       41 
        6266.936            0    00  00       31       50 
        6466.936            0    00  00       32       46 
        6666.936            0    00  00       28       62 
        6866.936            0    00  00       30       56 
        7066.936            0    00  00       29       60 
        7266.928            0    00  00       33       46 
        7466.928            0    00  00       32       45 
        7666.928            0    00  00       31       58 
        7866.928            0    00  00       30       56 
        8066.928            0    00  00       31       50 
        8266.928            0    00  00       31       55 
        8466.920            0    00  00       35       42 
        8666.920            0    00  00       34       45 
        8866.920            0    00  00       33       48 
        9066.920            0    00  00       37       33 
        9266.920            0    00  00       33       48 
        9466.920            0    00  00       33       49 
        9666.920            0    00  00       38       33 
        9866.912            0    00  00       32       53 
       10066.912            0    00  00       31       51 
       10266.912            0    00  00       32       50 
       10466.912            0    00  00       33       49 
       10666.912            0    00  00       33       44 
       10866.912            0    00  00       32       48 
       11066.904            0    00  00       33       50 
       11266.904            0    00  00       29       57 
       11466.904            0    00  00       35       42 
       11666.904            0    00  00       29       59 
       11866.904            0    00  00       32       51 
       12066.904            0    00  00       31       56 
       12266.896            0    00  00       30       57 
       12466.896            0    00  00       34       44 
       12666.896            0    00  00       31       57 
       12866.896            0    00  00       33       46 
       13066.896            0    00  00       33       43 
       13266.896            0    00  00       33       51 
       13466.896            0    00  00       30       58 
       13666.888            0    00  00       35       40 
       13866.888            0    00  00       29       59 
       14066.888            0    00  00       32       47 
       14266.888            0    00  00       30       58 
       14466.888            0    00  00       32       48 
       14666.888            0    00  00       30       56 
       14866.880            0    00  00       31       57 
       15066.880            0    00  00       29       54 
       15266.880            0    00  00       31       46 
